Başlık,Şikayet
N11'de Mağaza Silme Ve Yeni Mağaza Açılışı Konusunda Yaşanan Sorunlar,"N11'de satıcıyım. Mağazam kapatıldı. Yeni mağaza açılışına, 'tekrarlayan mağaza' olduğu gerekçesiyle izin verilmedi. Aynı VKN ile bir mağaza olabilirmiş. Kapanan mağazayı silmek için, son siparişten sonra 6 ay beklememiz gerektiği söylendi. Sözleşmeye göre talep edersek, N11 mağazamızı ve bilgileri sileceğini belirtiyor. Teyit etmek için sordum: Eski mağazayı silersek, aynı VKN ile yeni mağaza açabilir miyiz? 'Evet' dediler. 6 ay bekledik, şimdi mağazayı silmiyorlar. Hangi hakla bilgilerimi ve mağazamı silmiyorsunuz? N11, 6 ay sonra isterseniz bilgilerinizi sileceğim diyor. Şimdi ise mağaza silemeyeceğimizi, yeni başvuru da yapamayacağımızı söylüyorlar. Burada kesinlikle satıcı hesabı açmayın. Güvenilir değiller. Muhatap yok, bilgi yok. Yönetim tamamen keyfi şekilde hareket ediyor."
Yanlış Adrese Teslimat Ve İlgisiz Kargo Personeli Mağduriyeti,"Satın aldığım portatif klima, adresimle ilgisi olmayan başka bir adrese gönderilmiş. Kargo işini üstlenen Borusan Lojistik firması elemanı beni arayarak adresin hatalı olduğunu söyledi. Böyle bir adres bildirmediğimi ve doğru adrese getirmesini istememe rağmen, telefonu yüzüme kapattı ve kendi inisiyatifiyle iade işlemi başlattı. İnsanları mağdur ediyorlar. Bir daha N11'den alışveriş yapmayı düşünmüyorum, çok kötü bir durum."
Aldığım Bulaşık Makinesi Arızalı Çıktı İade Süreci Karmaşaya Dönüştü,"N11'den 45 gün önce Altus bulaşık makinesi aldım. Ürüne servis 'arızalı' dedi ve iade tutanağı tuttu. Ürünü, zor olsa da tekrar kargoyla gönderdim. 4 Temmuz'da N11 arıyor ve ürün size geri geldi mi diye soruyor. Ürünün durumunu N11 bilmiyor.
208794775736 sipariş numaram. Pişmanım, bir daha asla ürün almayacağım."
"N11 Kendi Sattığı Ürünü Zamanında Kargolamıyor, İptal Sonrası Kart Puanı Belirsizliği","N11.com üzerinden 30 Haziran tarihininde bir Stanley termos aldım. Satıcısı da kendileriydi, yani N11 satıyordu. En geç 1 Temmuz kargo yazıyordu. Ürün 5 gündür kargolanmadı. Bu süre zarfında hem mesaj yoluyla hem de arayarak kargonun durumunu sordum. Bana en kısa sürede ürün kargo çıkışınız sağlanacaktır dediler. Ancak yaklaşık 5 gündür kargolanmayınca ve akıbeti de belirsiz olunca siparişi iptal etmek zorunda kaldım. Alışverişin bir kısmını kart puanıyla yaptım onun da akıbeti belirsiz. N11 hem satıcı hem de alıcı tarafında son dönemde kullanıcılarını çok fazla mağdur etmektedir."
Siparişimin Kargo Sürecinde Satıcıdan Bilgi Alamadım Ve İptal Etmek Zorunda Kaldım,"Kastel motor firmasından N11 aracılığıyla resimdeki urunu 26 Haziran tarihinde sipariş verdim. 4 Temmuz (bugün) iptal etmek zorunda kaldım. N11 firmasını defalarca aradım, müşteri temsilcisi satıcı firma olan kastel motoru arayıp ürünün kargo bilgisi için detay almak isterken bile telefonlara cevap vermiyorlar, cevap verince de bugün, yarin, yaptık ettik gibi söylemlerde bulunuyorlar. N11 gibi büyük bir firmanın bu denli sarıcı firmalarla çalışması inanılmaz komik bir durum."
Kullanılmış Ve Kirli Elektrikli Süpürge Gönderildi,"N11 uygulaması üzerinden bana kullanılmış ve kirli bir elektrikli süpürge gönderildi. Polti marka su filtreli süpürge, Teknorido isimli bir firma tarafından gönderildi. N11 uygulaması yetkililerinin iş ortaklarına daha fazla dikkat etmesi gerektiğini düşünüyorum. Ayrıca, bu etik olmayan ticareti kınıyorum."
N11 Satıcı Ödemelerinde Sürekli Gecikme Ve Bilgi Kirliliği!,N11 Satıcı Ödemelerini Sürekli Geciktiriyor! Satış Yapacaklara Uyarımdır!
"N11'den Eksik Ürün, Yetersiz Çözüm Ve Kupon Teklifiyle Yaşanan Mağduriyet","N11 den alis yaptım ürünler eksik geldi. Durumu bildirdim iade açmam gerektiğini satıcının iptal edip kargo koduyla ürünleri göndereceği söylenildi
İadeyi kabul edip ürünler gönderilmezse para iadesi yapılırsa mağduriyetim karşılanacak mi diye sordum evet ediler sonuç olarak para iadesi yapıldı. Ben arandım 50 TL gibi saka bir kupon önerdiler. Hukuki yollara gerekli bas vuruyu yapacağım belki 10 bin 20 bin tl gidecek ama bu N11 denen sitenin yaptığı kaçıncı sorun. Alma. Yin aldır. Mayin kesinlikle pişman oldum. Siz olma. Yin... Fotoğraflarda da N11 müşteri hizmetlerinin açtığı iadeyi red dedin dedikleri halde edilmediği ispatı vardır."
"Klima Kurulumu Yapılamadı, İade Sürecinde Mağduriyet Yaşıyorum",N11 üzerinden Media Markt'tan 28.06.2025'te aldığım Grundig marka klima 02.07.2025'te teslim edilmiştir. Grundig yetkili servis tarafından kuruluma gelindiğinde site içerisinde yer alan binaya uygun olmadığı söylenerek klima kurulumu yapılmamıştır. 04.07.2025'te N11 üzerinden iade talebi oluşturulmuştur. N11 Yurtiçi Kargo ile iade edebileceğime dair kod vermektedir. Bu bir beyaz eşya ve benim gidip şubeye teslim etme durumum bulunmuyor. Bu nedenle teslim edildiği adresten gelip alınması gerekmekledir. Defalarca görüşmeme rağmen ne Media Markt ne N11 yardımcı olmamaktadır. Hatta Yurtiçi Kargo'yu aradığımda kendilerinin klima taşımacılığı yapmadığı o yüzden iadeyi kendilerine götürmemem gerektiğini söylediler. Klima bırakıldığı adreste bırakıldığı gibi kutusuyla duruyor. Bunu kim gelip evden geri alacak ve gönderene iade edecek acil çözün şu konuyu gelip alın evden!
N11 Karser Oto Şişirme Pompası Bana Ulaşmadı!,İki hafta önce sipariş verdiğim hava şişirme pompası bana ulaşmadı ne yazık ki ve kargodan teslim edildi diye ama kargoya teslim edilmemiş bana da hiçbir şekilde gelmedi. Kargoya baktım geri dönüşüm olmuş dendi ürün hatalı diye şikayetçiyim.
Aldığım TVdeki Ekran Hatasına Kimse Çözüm Sunmuyor,"N11'den aldığım Altus marka 50 inç TV'yi fişe taktığımda, ekranın üst kısmında belirgin bir üretim hatası olduğunu fark ettim. Bu durumu Altus yetkili servisine bildirdim. Ancak kutuyu benim açtığımı söyleyerek ilgilenmediklerini belirttiler. Servis çağrılması gerektiğini bilmiyordum, sadece kutuyu açıp fişe taktım ve ardından bu hatayı gördüm. Yetkili servis yine de ilgilenmedi. Sonrasında N11'i aradım, onlar da benzer şekilde yardımcı olmadı. Sadece kutuyu açtığım için sorumluluk almamaları ve hatalı ürünü değiştirmemeleri beni mağdur etti. Hatalı ürün gönderip müşterileri mağdur etmeyin. Bu yaşadıklarımdan sonra kesinlikle ne Arçelik, ne Altus, ne de N11'den alışveriş yapmayı düşünmüyorum."
Sipariş İptalinde N11 Ve Teknosa Arasında Mağduriyet Yaşıyorum,"N11 üzerinden Teknosa satıcısından verdiğim iPad siparişini yanlışlıkla sepetteyken onayladım ve hemen fark edip 5 dakika sonra siparişi iptal etmeye çalıştım. N11 ile iletişime geçtim, Teknosa ile iletişime geçtim; ancak hiçbir şekilde siparişimi iptal etmediler. N11 firması, Teknosa'nın iptal edebileceğini söyledi, Teknosa ise N11'in iptal edebileceğini belirtti. Hiçbir şekilde çözüm üretilmedi. Ürünün kargolanmasını bekleyip, ürün bana geldikten sonra iade etmem gerektiği ve ürünü kargoya verdikten sonra test edilip kartıma ücretin iade edileceği bildirildi. Bu süreçte 15 gün boyunca kredi kartımdan 25.000 TL limit blokeli olacak ve bu yüzden kredi kartımla istediğim ürünü alamayacağım. Böyle firmaların yönetimini anlamakta güçlük çekiyorum."
Sepette Fiyat Artışı Ve Açıklama Eksikliği,"N11 alışveriş sepetine ürün ekleyip ödemeye geçtiğimde fiyatlarınız neden artıyor? Bu konuda oldukça fazla şikayet olmasına rağmen neden bir açıklama yapılmıyor? Yıllardır N11'den alışveriş yapıyorum ama son zamanlarda bu tür şikayetlere neden çözüm bulunamıyor, N11'in bu tutumu beni şaşırtıyor."
Sipariş İptali Ve Bonus Kaybı Nedeniyle Mağduriyet Yaşadım,"N11'den DeFacto satıcısından 24 Haziran 2025 tarihinde, 201478783734 sipariş numarası ile verdiğim 4 adet erkek çocuk atleti siparişimin bir tanesi, 2 gün sonra stok yok denilerek iptal edildi. Kalan 3 atlet için ise kargolanma süreci 03 Temmuz 2025 tarihine kadar beklemede kaldı. Bu süreçte hem firma ile hem de N11 ile mesajlaşmama ve görüşmeme rağmen kargo gönderilmedi ve siparişim 03 Temmuz 2025 tarihinde DeFacto firması tarafından iptal edildi. Siparişimi N11 bonusu ile yapmıştım ve kampanya süresi bu gecikmeden dolayı sona erdiği için 284 TL'lik N11 bonusunu artık kullanamıyorum. N11 ile görüştüğümde sadece 50 TL puan yükleyebileceklerini, başka bir şey yapamayacaklarını belirttiler. Banka da süre bittiği için bonusu geri yükleyemeyeceğini söyledi. Sonuç olarak, N11 sitesindeki DeFacto satıcısı nedeniyle 284 TL zarara uğradım. Ayrıca, bu mesajı yazarken N11 sitesinde DeFacto satıcısında iptal edilen siparişimdeki aynı ürün ve aynı beden hâlâ satışta ve stokta görünüyor."
Teslim Edilmeyen Ürünün İadesi İçin Bekletiliyorum,"N11'den 05.06.2025 tarihinde bir ürün aldım. 26.06.2025 tarihinde kargoya verildi. Parçalı teslimat olduğu için bir parçası gelmedi ve ürünü bana hiç teslim etmediler. Bekleme süresi dolunca iade gönderdiler. N11'e başvuruyorum; müşteri temsilcisi, 'Firma ürünü alacak, kontrol edip iadeyi onaylayacak, 7 gün bekleyin' diyor. Ürünü alıp iade talep etsem beklerim, fakat hiç bana gelmeyen bir ürünün ücret iadesi için neden bekliyorum? Neden satıcının onayını bekliyorum? 1 aydır paramı aldınız, şimdi de 1 hafta daha neden zaman kaybedeyim? Ben başka bir yerden ürünü alacağım, sizi mi bekleyeceğim? N11 eskisi gibi değil, işi sokak satıcısı moduna çevirmişler."
"İade Talebim Kapıdan Alınmadı, Mağdur Edildim","Merhaba,"
N11'den Alınan Ürünün Stokta Olmaması Ve Kupon Sorunu,"N11'den aldığım ürün uzun süre bekletildi, mesajlarıma cevap verilmedi ve 4-5 gün sonra stokta olmadığı söylenerek siparişim iptal edildi. Ayrıca, tanımlanan kuponum alınıp yerine daha düşük bir kuponla iade edildi. Acil olarak ihtiyaç duyduğum bir ürünün bu kadar bekletilip, ardından hiçbir açıklama yapılmadan iade edilmesi çok saçma bir durum. Diğer e-ticaret sitelerinde benzer bir durumda müşteri memnuniyeti ön planda tutulurken, maalesef N11 müşterilerini kaybediyor."
"N11 İade Seçeneği Sorunu: Ürün Elimde Kaldı, Para İadesi Bekliyorum",Ürününü Satıcı vazgeçtim seçeneği ile alıyor. Koskoca n 11 iade seçeneklerinde vazgeçtim aktif etmediği için ürün elimde kaldı. Satıcı ile görüşünüz siz halledin diyorum müşteri hizmetleri bana satıcıya ulaşamadık mesajını iletiyor. Yorum sizin para iadesini N11 den bekliyorum
"Olumsuz Yorumlar Yayınlanmıyor, Yorumlar Güvenilir Değil",n11.com dan bir ürün aldım ve kesinlikle hiç memnun kalmadım. Bunu yorum olarak yazdığımda yayınlanmadığını gördüm. Daha sonra detaylı incelediğimde gördüm ki 1 yıldız ile kimse yorum yapmamış. Herkes ürünü iyi olarak yazmış. Jeton ancak düştü. Bu kadar kötü bir ürün hakkında hep iyi yorum olması istisna olamaz. Yorumum olumsuz olduğu için yayınlanmıyor. n11.com dan ürün alırken yorumlara bakarak ürünü sipariş etmiştim. Demek ki bu siteden alışveriş yaparken yorumlara kanmamak gerekiyormuş. Hatta bir şey daha fark ettim. Yorumlar satıcı tarafından bile düzenlenmiş olabilir. Sistemi söyle yapıyorlar. 20 kişi satıcıyla anlaşmalı sipariş geçiyor. Yorumları hep olumlu süper bomba. Tabi hepsi ürünleri iade edip paralarını alıyor. Belkide ürünler onlarda bile kalıyor olabilir. Muhtemelen tanıdıklarla bu işi yapıyorlar. Çünkü ben kesinlikle memnun kalmadım ve kimsenin memnun kalabileceğini düşünmediğim halde. 15-20 tane sadece olumlu yorum var. 1 tane olumsuz yorum yok. Kısacası n11.com dan alış veriş yapmayın. Yanılırsınız.
Ölçülü Ürün İadesi Reddi Ve Sürekli Sorunlar!,"N11 üzerinden Büro Makine isimli satıcıdan bir tül sineklik aldım. Adam bunu tek ölçüde satıyor seçenekli ölçü değil yani. Beğenmedim iade edeyim dedim. Neymiş efendim özel ölçüymüş, ölçülüymüş iade edemezmişim. Üç kere müşteri hizmetleri destek ekibine iletti. Hep olumsuz yönde geribildirimde bulundular. Bir ürün ölçülü diye iade almamak nedir, benim aklım almıyor. Ülen kıyafetler de ölçülü, bunları aldık mı iade edebiliyoruz siz kimsiniz de tek ölçüde sattığınız malı almıyorsunuz? 3 ayda 3 ayrı sorun yaşadım. N11 ile ilgili. Hala faturasını yüklemeyen satıcılar var. Bu şikayeti okuyan varsa yatırım tavsiyesi değildir kardeşlerim. Uzak olunsun."
N11 Siparişi Keyfi İptal Etti Fiyat Arttı Kredi Kartı Limitim Mağdur Oldu,"1 Temmuz pazartesi 1 tanesi bir ofisime, 2 tanesi de yeni açılacak ofisime teslim olacak şekilde 2 ayrı siparişte 3adet Beko 4144 bulaşık makinesini taksitli kartla satın aldım. Tane fiyat 17896TL idi. N11. Com kendisi gaipten bir niyet okuma yapmış ve demiş ki: ""Bunlar kesin alıp bulaşık makinesi ticaretine başlayacaklar, ben bu siparişlerin hepsini iptal edeyim"". Birkaç gün sonra açılış davetim var, birçok davetli gelecek ama bir arayıp haber vermek dahi yok. Şu an tekrar almaya çalışıyorum. Fiyat 19Bin tl'yi geçmiş. Taksitli alışverişin iadesi taksit taksit olacağı için N11 yüzünden kredi kartı limitim işgal edilmiş. Müşteri hizmetlerine soruyorum ""satıcı iş yeri"" iptal etmiş"" deniyor, Satıcıya soruyorum, ""benim iptal hakkım yok, iptal edersem cezaya düşerim diyor"" N11.com'da daha üst düzey biri ile konuşuyorum arka planda seslerden bir çocuk muharebesinden anlaşabildiğimiz kadarıyla N11 iptal etmiş ama suçu satıcıya atıyor. Çekinmeden kurumsal bir Türkçe ile konuştuklarını sanarak dilimizi yerle bir ediliyor. Telafi için de 3 bulaşık makinesi kredi kartı mağduriyeti ve onca fiyat farkından sonra 250TL kupon verelim diye dalga geçiyorlar."
N11'de Geciken Ödemeler Ve Yetersiz Müşteri Hizmeti,"N11 platformunda satıcıyım. Mağazalara yapılan ödemeler ayın 3, 13 ve 23. Günlerinde yapılması gerekirken, ödeme günlerinde ödemeler yapılmıyor. Her seferinde ödemeler aksatılıyor. Müşteri hizmetleri ise yardımcı olmuyor.
Robota bağlamışlar inceleniyor başka bildikleri bir şey yok"
Kayıp Kargo Sonrası N11 Ve Kargoist'ten Bilgi Ve İade Alamıyorum,"c**********@hotmail.com
Bu mail adresine iletişime geçebilirsiniz."
Çocuk Kilidi Sorunu Nedeniyle Yürüyüş Bandını Kullanamıyorum,"N11 sitesinden aldığım Xiaomi Urevo U1 yürüyüş bandını, aldığım günden beri sorunsuz şekilde kullandım. İlk kullanımda çocuk kilidini 3 km hızla 1 saat yürüyerek kaldırabildik. Ancak cihazda bant kayması oldu ve kullanım kılavuzunda ki gibi bant kaymasını düzelttik. Bu sırada tekrar çocuk kilidine girdi. Ve ne yaparsak yapalım çocuk kilidi kalkmıyor. Şu an cihazımı hız durumundan dolayı kullanamıyorum. Her yerden iletişime geçmeye çalıştım fakat kimseye ulaşamadım. Bu konuda üretici firmadan destek rica ediyorum"
Sipariş Sonrası Fiyat Artışı Ve Zorunlu İptal Mağduriyeti,"N11'den 25.06.2025 tarihinde 40.850 TL'ye aldığım Onvo Scooter'ı, 03.07.2025 tarihine kadar bekletip kargoya vermediler. Daha sonra ürünün fiyatını 46.000 TL'ye çıkardılar. Sonrasında N11 beni arayarak siparişi iptal etmemi istediler, aksi halde paramı iade alamayacağımı ve ürünü gönderemeyeceklerini söylediler. Paramı geri alabilmem için zorla iptal ettirdiler ve tekrar 46.000 TL'den alabileceğimi belirttiler. Bu süreçte mağdur edildim."
İade Sürecinde Cevapsızlık Ve Mağduriyet: Roborock S8 Maxv Ultra Ürünümün Durumu Belirsiz,"7 Temmuz 2024 yılında aldığım Roborock S8 Maxv Ultra Akıllı Robot süpürgenin yan paspas aparatı mayıs ayında problem oluşturdu. Bu nedenle N11 üzerinden online satış yapan Comfor mağazasına aldığım ürünle ilgili sorular sordum. Fatura bilgisi istedim. (Fatura bilgisi bulunmamaktadır. ) Fakat herhangi bir cevap alamadım. Daha sonrasında ise N11 canlı destek üzerinden yardım talebinde bulundum. N11 firması bana ürünü iade edebileceğimi söyledi ve mağduriyetimin mağaza tarafından yasal süre içerisinde giderileceği taahhüdünü verdi. Devamında bana iade kargo kodu verilerek Aras Kargo ile gönderebileceğim söylendi. Ben 16 Haziranda ürünü Aras Kargo ile gönderdim. Kargo hareketlerinde 19 haziranda Comfor şirketine ulaştığı bilgisini aldım. Fakat o tarihten bugüne kadar ne Comfor şirketinden ne de N11 üzerinden bana herhangi bir dönüş sağlanmadı. Defalarca kez mağazaya yazmama ve ulaşabildiğim 0 216 314 08 88 no lu telefondan aramama rağmen hiçbir dönüş alamadım. N11 e konuyu yazdığımda ise sürekli olarak sistemsel bir sorun olduğu ve beklemem gerektiği, iadenin sistemlerine düşmediği ve sorunu aştıklarında yardımcı olabilecekleri bilgilendirmesi ile oyalandım. Her soruya aynı klişe cevaplar ve aynı oyalamalar. ""Biz size döneceğiz. Gerekeni yapacağız. Vs. "" Üstelik ve muhtemelen benim erişimimi engellemek için kısıtlamada koydular. Çünkü N11'i her açtığımda kısıt engeli konularak ya da bir çok kez yeniden girin şeklinde siteden atılıyorum. Sonuç olarak gönderdiğim ürünün nerede olduğu, ürünün sorununun giderilip giderilmediği ya da ürüne ne olduğu ile ilgili hiçbir bilgiye sahip değilim. Halen neyi, neden beklediğimi bilmiyorum. Güvenirliğine inandığımız bir firma olan N11 güvensiz firmalar ile çalışıyor ise bu tür mağduriyetler kaçınılmaz olacaktır. Hem satıcı Comfor Firmasından hem de hizmet sağlayıcı N11 den şikayetçiyim."
"Garanti Desteği Alamadım, Güneş Enerjisi Sistemim Çalışmıyor",N11 uygulamasından Uretech marka mppt şarj kontrol cihazı almıştım. Ürün şuan çalışmıyor. Garantiye gönderilmesini tarafıma yardımcı olunmasını istediğim halde ne N11 ne de Uretech tarafıma bir dönüş yapmadı. Mağdur edildim ve şuan güneş enerjisi sistemim çalışmıyor. İvedi bir şekilde sorunun çözülmesini hakkım olan garanti koşullarından yararlanmak istiyorum. Zaten Uretech sitesine bile giremiyorum ve ürünü nereye göndereceğimi bilmiyorum. Dönüş yapılmasını talep ediyorum.
Sipariş İptali Sonrası Olumsuz Müşteri Hizmeti Deneyimi,"N11'den vermiş olduğum ürünü bir türlü kargolamayan firma, 4. gün sonunda iptal ettiğimde hemen arayarak neden iptal ettiğimi sordu. Kargoya verdiklerini söylediler. Takip numarasını sorduğumda ise takip numarası vermediler. Ayrıca müşteriyle uygunsuz bir şekilde konuşarak telefonu yüzüme kapattılar.
Sipariş no: 205552333737"
N11den Aldığım Ürün İptal Edildi Para İadesi Taksitli Yapılacak,N11 online satış sayfasından 'desibela' isimli smeg satıcısından 1 Temmuz 2025 te pembe ayarlı kettle ve ekmek kızartma makinası seti aldım. İki gün bekleme süresinin ardından iptal edildi. Satıcıyı aradım N11 yapmış dedi. N11 müşteri temsilcisi satıcı iptal etti dedi. Normale göre uygun fiyata yazdıkları için satışı gerçekleştirmediler. 3 taksitle satın aldığım için de iade parasının üç ay içerisinde iadesini yapacaklarını öğrendim. Desibela firmasının ürünü tarafıma teslim etmesini talep ediyorum. Aksi takdirde Tüketici Hakem Heyeti'ne başvuracağım.
"Köy Adresine Teslimat Yapılmıyor, Mağdur Edildim",Konu: Köy Adresine Çamaşır Makinesi
N11 Hasarlı Ürün Ve Yetersiz Müşteri Desteği!,"N11 üzerinden aldığım bir Scooter'da sorun olduğu ve kutusu patlamış bir şekilde gönderildiği için hemen iade ettim. Fakat mağaza, ürünü iade almayı reddetti ve tekrar gönderdi. Bu durumu, fotoğrafları ve kargo hasar raporu ile birlikte N11 firmasına ilettiğim halde 4 gündür hiçbir bilgi vermeden bekletiyorlar. Üstelik sürekli arayıp bilgi istememe rağmen görüştüğüm hiçbir yetkili bilgi veremedi. Bu yaşadığım deneyim sonunda bir daha aynı platformdan ürün sipariş etmeyeceğimi düşünüyorum. Bu tip mağazaların, N11 müşterilerini bu duruma düşürmelerine müsaade edilmesini asla kabul etmiyorum ve tüm ilgililere ileteceğimi belirtiyorum. Kargo hasar raporu özel bilgi içerdiği için eklemedim ama ilgili yerleri kapatıp ekleyebilirim.  Diğer kısımlarla ilgili önerilerimi, şikayet sürecinden bir sonuç alabilirsem ekleyeceğim."
Siparişimin Teslimat Süreci Belirsiz Ve Destek Yetersiz,"N11 uygulaması üzerinden 16.06.2025 tarihinde Modalife Eva Çalışma Masası sipariş verdim. Ürün ile ilgili yaptığım görüşmelerde kargoya verilme tarihinin 30.06.2025 olduğu söylendi. 30.06.2025 günü N11 uygulaması üzerinden kargo takibi sekmesine tıkladığım zaman karşıma ekte sunulan boş görsel çıktı,03.07.2025 günü Mağazaya sor adımından kargo ile ilgili bilgi talebimde ürünün teslim edildiği bilgisini aldım kime teslim edildiği yönünde tekrar yazdığım zaman ürünün 7 iş günü içerisinde teslim edileceği ile ilgili geri dönüş aldım. N11 müşteri hizmetlerini defalarca aramama rağmen Herhangi bir olumlu dönüş alamadım. Satıcı tarafından aranma talebime cevap alamadım. En son yaptığım görüşmede ise bana ürünün önümüzde ki hafta içi (tarih verilmeden) teslim edileceği söyledi"
N11 Sahte Ürün İadesinde Mağduriyet Ve Müşteri Desteği Eksikliği,N11 üzerinden parfüm siparişi verdim. Halen kullandığım ürün ile siparişim sonucu gönderilen ürün arasında bariz farklılıklar gördüm ve fotoğraflarını ekleyerek iade süreci başlattım. Ancak N11 İade sürecinde sahte ürün satan üyesine destek çıkıyor! Ürün inceleme için mağazaya tanıdığı süre dahi geçmesine karşın iademi onaylamıyorlar. Canlı desteğe bağlanmaya çalıştığımda da dakikalarca beklemede kalıyorum ve herhangi bir muhataba bağlanamıyorum.
"Siparişim Eksik Ve Faturasız Gönderildi, Satıcıdan Dönüş Alamıyorum","N11 üzerinden vermiş olduğum siparişte ürün açıklamasında 48 adet bant yer almakta iken, elime yalnızca 42 adet ürün ulaşmıştır. Ayrıca, satıcı tarafından tarafıma herhangi bir fatura da iletilmemiştir. Bu duruma ilişkin olarak satıcıya ulaşmaya çalışmama rağmen herhangi bir dönüş alamadım."
N11 Üzerinden Alınan Ürünün Sebepsiz Reddedilmesi Ve İade Sürecindeki Mağduriyet,N11 sitesinden almış olduğum ürün firma tarafından nedensiz sebepsiz reddedilmiş. Bu platformunuza ve sitenize güveni azaltmaktadır. Çalıştığınız firmaları gözden geçiriniz. Ürün sebepsiz şartsız reddedilmiş. 7 gün bir de bankaya ücretin iadesini bekleyeceğiz.
"Verilen Kargo Sözü Yerine Getirilmedi, İlgisizlik Yaşadım","N11'den verdiğim siparişi 30 Haziran'da göndereceklerini söyledikleri halde henüz göndermediler, verilen sözü yerine getirmediler. Sipariş No: 204433213738. Ciddi bir kuruluş olarak bildiğim ve gerek eşim gerek ise çocuklarımın güvenle alışveriş yaptığı firmanın ilgisiz kalmasını anlayamadım."
"Klimamı Kuramıyorum, Satıcı Ve N11 Destek Vermiyor!","İki hafta önce N11'den klima satın aldım. İki gün önce teslim edildi ancak kurulum yaptıramıyorum. Fatura gönderilmemiş; bu konuda zaten gerekli şikayetleri yapacağım. Ancak N11 satıcıya ulaşamıyorum, satıcı kurulum için destek vermiyor. Antalya'da yaşıyorum. Klimamı taktıramıyorum, bir daha kesinlikle bu siteden alışveriş yapmayacağım. N11'i arıyorum, müşteri temsilcisine bağlanamıyorum. Çok mağdurum, en kısa zamanda bana dönüş yapılmasını istiyorum."
"N11 Siparişim Teslim Edilmedi, Müşteri Hizmetlerinden Destek Alamıyorum","N11 alışveriş sitesinden verdiğim sipariş elime ulaşmadı ve hiçbir açıklama yapmıyorlar, müşteri hizmetlerinden destek alamıyorum. Muhatap bulamıyorum, ürünü iade etmek istemiyorum, ihtiyacım var çünkü. 30 Haziran'da kargoya verilecek diye satın almıştım"
N11den Aldığım Ürünler Günlerdir Kargoya Verilmiyor,"N11 üzerinden iki adet ürün siparişi verdim. Ürünlerin ikisi de aynı satıcıdan ve şu anda altı gündür ürünler hazırlanıyor, kargoya verilmiyor. Mağazaya defalarca soru sorduğum halde cevap alamadım. N11 Asistan'a acele olduğunu söylediğimde mağazayla iletişime geçeceklerini belirtiyorlar fakat hiçbir şekilde yardımcı olmuyorlar. Başka bir firmadan ürün istediğimizde üç günde kapımda olurken, buradan istediğimizde iki haftaya doğru gidiyor."
N11 Üzerinden Alınan Üründe İade Ve Müşteri Hizmetleri Sorunu,"N11 üzerinden 'Komore' adlı satıcıdan Razer markalı bir ürün aldım. Ürünün kutusundaki aktivasyon kodları daha önce kullanılmıştı ve bu durum yorumlarda 20'den fazla kişi tarafından belirtilmiş. Buna rağmen N11 herhangi bir önlem almamış. Ben, bu ayıplı ürünü almak istemediğim için kargomu iptal etmek istedim. Ancak ne müşteri hizmetlerine ulaşabiliyorum ne de N11 üzerinden iade talebi oluşturabiliyorum. Kargonun teslimat tarihi sürekli değişiyor ve ürün elime ulaşmıyor. Ürün elime ulaşsa hemen iade edeceğim fakat iade etmeme de izin verilmiyor. Ayrıca 850 333 0011 numaralı müşteri hizmetleri hattını iki kez aradım, mesai saatleri içinde olmama rağmen cevap alamadım. Paramın iadesini istiyorum, ürünü istemiyorum."
N11'de Satıcıların Yanıltıcı Reklamları Ve Sipariş İptalleri Karşısında Müşteri Mağduriyeti,"N11 mağazası içerisinde bulunan satıcılar, reklam yaparak ürün satıyorlar. Ardından satılan ürünlerin, fiyatlarının yanlış girildiğine dair beyanda bulunup siparişi iptal ediyorlar. Bu süreçte mağaza kendi reklamını yapıyor, keza N11 de kendi reklamını yapıyor. Müşteri hizmetleri otomatik cevap vermekten başka bir şey yapmıyor. N11 platformunun bu konuda hiçbir şey yapmadığından dolayı şikayetçiyim. Yüzlerce liralık alışveriş yapıyorsunuz, satıcı stok yok ya da fiyat yanlış bahanesi ile ürünü iptal ediyor, ardından 1 gün sonra tekrar ilana alıyor ve N11 de buna göz yumuyor. Utanmadan 50 TL lik kupon tanımlayalım diye otomatik mesaj ile devam ediyorlar. Sizi ve bunu yapan diğer siteleri CİMER'e şikayet ediyorum. Umarım onlar da bu duruma göz yummazlar ve bu yapılan haksızlığın cezasını alırsınız."
Comfor Mağazasından Alınan Çaydanlık Arızası Sonrası Fatura Gönderilmiyor,N11 üzerinden Comfor mağazasından aldığım Korkmaz elektrikli çaydanlık arıza yaptığından dolayı faturasını göndermeleri için defalarca Comfor mağazasına Mesaj yazmama rağmen hiçbir sonuç elde edemedim. N11 müşteri temsilcisi bile ulaşamıyor ve buna rağmen hala N11 ve diğer alış veriş sitelerinde faaliyetlerine devam edip milleti mağdur etmeye devam ediyor. Bu nedenle şikayetçiyim
N11 Üzerinden Alınan Beyaz Eşyaların Teslimatında Yaşanan Gecikme Mağduriyeti,"N11 firması aracılığıyla Gizerler a. Ş.'den Samsung buzdolabı satın aldık. Ürünün 3 iş günü içinde evimize gelmesi gerekiyordu, ancak aradan 9 gün geçmesine rağmen Horoz Lojistik hâlâ dolabımızı getirmedi. N11 üzerinden aldığımız çamaşır makinesi de Borusan Lojistik tarafından hâlâ adresimize ulaştırılmadı. Hava sıcaklığı 35 derece, birkaç defa aradım ve acil olduğunu bildirmeme rağmen sonuç alamadım."
